Gene	CV
Zm00001d002241	13.3165468345701
Zm00001d002243	12.0299688766341
Zm00001d002244	9.1745154196477
Zm00001d002246	17.1816447778877
Zm00001d002250	25.9581200252394
Zm00001d002252	21.6316649851679
Zm00001d002253	21.5413309023974
Zm00001d002256	25.6429901420126
Zm00001d002257	18.3242382844592
Zm00001d002258	31.7367817219165
Zm00001d002259	15.2887458132486
Zm00001d002261	20.6091456906862
Zm00001d002266	27.1857231137639
Zm00001d002267	17.6198155781816
Zm00001d002272	22.4819942775756
Zm00001d002274	25.0965981314994
Zm00001d002275	19.4949217409093
Zm00001d002277	23.3066887079499
Zm00001d002278	34.2940628203093
Zm00001d002282	17.9268941573717
Zm00001d002283	17.3317428423121
Zm00001d002284	22.4624356683766
Zm00001d002285	63.2921170428521
Zm00001d002292	13.8301254480937
Zm00001d002295	89.7933166984785
Zm00001d002296	13.0133855952994
Zm00001d002301	27.7396485079961
Zm00001d002313	29.4085497942773
Zm00001d002314	21.8255455687714
Zm00001d002315	16.6251840789537
Zm00001d002316	32.2286651097332
Zm00001d002317	26.6896242813666
Zm00001d002323	19.5493660495094
Zm00001d002325	29.0294246889205
Zm00001d002326	17.1604190572458
Zm00001d002330	19.1686659309354
Zm00001d002332	15.7543390723119
Zm00001d002333	28.1741045368167
Zm00001d002334	13.7414821155602
Zm00001d002338	24.8598300199781
Zm00001d002339	12.587027819793
Zm00001d002340	11.2098400096762
Zm00001d002341	13.5721236313469
Zm00001d002342	33.92137203561
Zm00001d002343	58.743662958137
Zm00001d002344	16.1990106152608
Zm00001d002345	18.4617760134917
Zm00001d002347	45.4075058822262
Zm00001d002349	24.1105272373033
Zm00001d002351	83.9754494352875
Zm00001d002352	15.8156513189958
Zm00001d002353	20.5007667432626
Zm00001d002356	16.5034682747847
Zm00001d002357	23.258821639908
Zm00001d002358	20.0210252836622
Zm00001d002359	11.9717645786691
Zm00001d002362	19.1576866773043
Zm00001d002364	49.032855803764
Zm00001d002366	21.6201749443896
Zm00001d002369	34.3640389039711
Zm00001d002371	9.11634876510003
Zm00001d002372	32.0155206139443
Zm00001d002373	14.2084803507371
Zm00001d002377	37.0076189076286
Zm00001d002382	11.7072305951588
Zm00001d002384	23.1021497294017
Zm00001d002385	24.8588006639699
Zm00001d002386	12.9502882331945
Zm00001d002387	15.5027178310716
Zm00001d002388	11.6025363825842
Zm00001d002390	17.2440282835381
Zm00001d002391	16.2828359322309
Zm00001d002393	80.6070644110513
Zm00001d002394	76.7016661376484
Zm00001d002395	13.6553637040233
Zm00001d002396	27.8544277744752
Zm00001d002402	25.3300444821936
Zm00001d002403	24.2675645050411
Zm00001d002405	26.2435820306299
Zm00001d002410	65.4933908576846
Zm00001d002415	28.7897934160856
Zm00001d002416	18.7417911663782
Zm00001d002418	11.1142885229131
Zm00001d002419	11.8559188121279
Zm00001d002420	15.1340747470361
Zm00001d002421	22.7974951314514
Zm00001d002422	29.4238708573255
Zm00001d002423	28.2503874009452
Zm00001d002426	31.3046151823016
Zm00001d002428	18.8096875847485
Zm00001d002429	29.5021099860442
Zm00001d002433	10.2654378485604
Zm00001d002434	86.2288773077299
Zm00001d002435	47.138163424085
Zm00001d002436	50.3275123424313
Zm00001d002440	14.4967640894638
Zm00001d002444	63.8721030466197
Zm00001d002446	46.8495663222395
Zm00001d002447	29.4789227314975
Zm00001d002450	24.4339666235014
Zm00001d002451	22.1254371340939
Zm00001d002454	40.3506119219081
Zm00001d002456	30.5587430560044
Zm00001d002462	28.3264983813757
Zm00001d002475	17.9244917304578
Zm00001d002478	24.2533376425898
Zm00001d002479	86.0397374888776
Zm00001d002483	32.5661488937912
Zm00001d002485	25.5266469878922
Zm00001d002489	34.8601132314519
Zm00001d002490	41.1872137487844
Zm00001d002491	21.6630566779827
Zm00001d002495	27.7024668565044
Zm00001d002496	28.2019477111839
Zm00001d002498	32.2436901723877
Zm00001d002499	15.2417524998267
Zm00001d002500	61.0581332893997
Zm00001d002501	22.1292528322662
Zm00001d002503	29.5508875218834
Zm00001d002504	9.98574609882889
Zm00001d002511	31.1800596625619
Zm00001d002512	25.5875760645892
Zm00001d002514	33.426774838732
Zm00001d002520	28.6630052724129
Zm00001d002521	33.9848269655182
Zm00001d002522	33.8910094367116
Zm00001d002523	35.2318999672123
Zm00001d002530	44.5528253662458
Zm00001d002532	33.191035694012
Zm00001d002534	16.9014904106121
Zm00001d002535	31.5414827354506
Zm00001d002537	24.6331284561633
Zm00001d002538	16.3832870009707
Zm00001d002540	20.0991132943061
Zm00001d002542	13.2937325711817
Zm00001d002543	26.7169520195814
Zm00001d002545	81.36440856147
Zm00001d002546	25.570788919472
Zm00001d002548	23.3141786574057
Zm00001d002549	55.5405875577014
Zm00001d002550	26.6909035898569
Zm00001d002558	67.1593388174218
Zm00001d002562	19.6191318963291
Zm00001d002565	38.1374628091475
Zm00001d002568	43.6387606193547
Zm00001d002572	19.3966340534311
Zm00001d002573	16.7740588988026
Zm00001d002576	33.4818643912999
Zm00001d002579	28.8906544196055
Zm00001d002580	12.8178953627054
Zm00001d002584	50.9952496725076
Zm00001d002585	15.2643223629886
Zm00001d002589	44.0043738371182
Zm00001d002590	46.7409191305505
Zm00001d002591	29.1403235106796
Zm00001d002592	45.0137159116898
Zm00001d002593	19.370527642325
Zm00001d002594	29.531243657632
Zm00001d002595	33.2044722838496
Zm00001d002596	38.7626231675274
Zm00001d002597	25.5622231389433
Zm00001d002598	12.9895728281372
Zm00001d002599	20.7268301040277
Zm00001d002601	22.2115644662261
Zm00001d002602	23.2981234667356
Zm00001d002603	16.1600275174226
Zm00001d002607	23.9179014638988
Zm00001d002610	60.0194179880907
Zm00001d002611	23.5229391469963
Zm00001d002614	38.1542331228195
Zm00001d002615	10.9530733312564
Zm00001d002617	25.5852912532519
Zm00001d002621	16.4192282690244
Zm00001d002623	34.2958738462906
Zm00001d002624	29.6110891158512
Zm00001d002625	31.2182152786541
Zm00001d002630	21.2351300638715
Zm00001d002631	14.5761928902591
Zm00001d002632	25.7833103499573
Zm00001d002639	8.34956337025297
Zm00001d002640	23.2639699008863
Zm00001d002641	16.4682711692491
Zm00001d002642	17.5260977324625
Zm00001d002644	25.162006959773
Zm00001d002650	21.994279441301
Zm00001d002654	18.7450370611715
Zm00001d002656	14.6544214012564
Zm00001d002658	31.0743447910903
Zm00001d002659	18.6942125827176
Zm00001d002661	11.3961273869884
Zm00001d002662	22.3664418311977
Zm00001d002663	12.9129507162789
